Gene_ID	Gene_names	Otholog	Molecular_function	Biological_process	Cellular_component
HUMAN|HGNC=8983|UniProtKB=P42356	PI4KA	Phosphatidylinositol 4-kinase alpha;PI4KA;ortholog	kinase activity(GO:0003824)	phospholipid metabolic process(GO:0008152);phospholipid metabolic process(GO:0006796);cellular process(GO:0006644)	membrane(GO:0016020);cell part(GO:0044464)
HUMAN|HGNC=1083|UniProtKB=Q12982	BNIP2	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2;BNIP2;ortholog	protein binding(GO:0005488)	cellular process(GO:0009987);cell death(GO:0032502)	cytoplasm(GO:0044464)
HUMAN|HGNC=29006|UniProtKB=O15027	SEC16A	Protein transport protein Sec16A;SEC16A;ortholog			
HUMAN|HGNC=31104|UniProtKB=Q92614	MYO18A	Unconventional myosin-XVIIIa;MYO18A;ortholog	motor activity(GO:0003824);structural constituent of cytoskeleton(GO:0016787);protein binding(GO:0016462);enzyme regulator activity(GO:0003774)	metabolic process(GO:0008152);cytokinesis(GO:0009987);cellular component movement(GO:0000910);mitosis(GO:0006928);cell communication(GO:0007049);muscle contraction(GO:0007067);sensory perception of sound(GO:0007154);sensory perception(GO:0032501);mesoderm development(GO:0044707);anatomical structure morphogenesis(GO:0003008);muscle organ development(GO:0006936);intracellular protein transport(GO:0007605);vesicle-mediated transport(GO:0050877);regulation of catalytic activity(GO:0007600);cellular component organization(GO:0032502)	plasma membrane(GO:0016020);actin cytoskeleton(GO:0005886);intracellular(GO:0043226)
HUMAN|HGNC=28426|UniProtKB=Q96B36	AKT1S1	Proline-rich AKT1 substrate 1;AKT1S1;ortholog			
HUMAN|HGNC=25551|UniProtKB=Q8ND04	SMG8	Protein SMG8;SMG8;ortholog			
HUMAN|HGNC=29827|UniProtKB=O14950	MYL12B	Myosin regulatory light chain 12B;MYL12B;ortholog	structural constituent of cytoskeleton(GO:0005198);calcium ion binding(GO:0005200);calmodulin binding(GO:0005488)	muscle contraction(GO:0032501);mesoderm development(GO:0044707);muscle organ development(GO:0003008)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=17101|UniProtKB=Q15022	SUZ12	Polycomb protein SUZ12;SUZ12;ortholog	nucleic acid binding(GO:0005488)	transcription from RNA polymerase II promoter(GO:0008152);cellular process(GO:0044238);chromatin organization(GO:0006139)	
HUMAN|HGNC=2555|UniProtKB=Q13620	CUL4B	Cullin-4B;CUL4B;ortholog	ubiquitin-protein ligase activity(GO:0003824)	induction of apoptosis(GO:0006915);proteolysis(GO:0006917);cell cycle(GO:0008152);induction of apoptosis(GO:0044238)	
HUMAN|HGNC=16919|UniProtKB=Q99536	VAT1	Synaptic vesicle membrane protein VAT-1 homolog;VAT1;ortholog	oxidoreductase activity(GO:0003824)	carbohydrate metabolic process(GO:0008152)	
HUMAN|HGNC=25492|UniProtKB=Q5PRF9	SAMD4B	Protein Smaug homolog 2;SAMD4B;ortholog			
HUMAN|HGNC=24615|UniProtKB=O00418	EEF2K	Eukaryotic elongation factor 2 kinase;EEF2K;ortholog	protein kinase activity(GO:0003824)	protein phosphorylation(GO:0008152);cell communication(GO:0044238)	
